source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,1269978005931282433,96% Approval Rating in the Republican Party. Thank you!,Mon Jun 08 13:02:06 +0000 2020,44501,,318887,False
Twitter for iPhone,1269976902665752576,"The Lamestream Media refuses to talk about our Country’s record setting Jobs Numbers, which are indicating GREATNESS, and soon!",Mon Jun 08 12:57:43 +0000 2020,27735,,126890,False
Twitter for iPhone,1269974605059555328,"CNN Polls are as Fake as their Reporting. Same numbers, and worse, against Crooked Hillary. The Dems would destroy America!",Mon Jun 08 12:48:35 +0000 2020,31840,,149741,False
Twitter for iPhone,1269970808329437185,"LAW &amp; ORDER, NOT DEFUND AND ABOLISH THE POLICE. The Radical Left Democrats have gone Crazy!",Mon Jun 08 12:33:30 +0000 2020,65232,,300092,False
Twitter for iPhone,1269970024908894209,"Tremendous sincerity, what a guy. Hard to believe, with this kind of political talent, his numbers would “tank” so badly in Utah! https://t.co/KqHsHmSRKo",Mon Jun 08 12:30:23 +0000 2020,18403,,81265,False
Twitter for iPhone,1269841849038114816,"Actually, a great book by a great and highly respected historian, Doug Wead! https://t.co/5Ly0WkGjVv",Mon Jun 08 04:01:03 +0000 2020,9487,,45653,False
Twitter for iPhone,1269840254871142400,"Could it be even remotely possible that in Roger Goodell’s rather interesting statement of peace and reconciliation, he was intimating that it would now be O.K. for the players to KNEEL, or not to stand, for the National Anthem, thereby disrespecting our Country &amp; our Flag?",Mon Jun 08 03:54:43 +0000 2020,32214,,143665,False
Twitter for iPhone,1269837128059453440,"Colin Powell was a pathetic interview today on Fake News CNN. In his time, he was weak &amp; gave away everything to everybody - so bad for the USA. Also got the “weapons of mass destruction” totally wrong, and you know what that mistake cost us? Sad! Only negative questions asked.",Mon Jun 08 03:42:18 +0000 2020,30594,,136315,False
Twitter for iPhone,1269761532033937412,"If I wasn’t constantly harassed for three years by fake and illegal investigations, Russia, Russia, Russia, and the Impeachment Hoax, I’d be up by 25 points on Sleepy Joe and the Do Nothing Democrats. Very unfair, but it is what it is!!!",Sun Jun 07 22:41:54 +0000 2020,45057,,231789,False
Twitter Media Studio,1269759817649983490,".@SeanParnellUSA is a SUPERSTAR running against a Lamb, to be exact, a weak puppet of crazy Nancy Pelosi! https://t.co/w0UYTAR43v",Sun Jun 07 22:35:06 +0000 2020,20147,,67130,False
Twitter for iPhone,1269753231355371521,"I built the greatest economy in the World, the best the U.S. has ever had. I am doing it again!",Sun Jun 07 22:08:55 +0000 2020,76495,,474661,False
Twitter for iPhone,1269737112850575360,RT @realDonaldTrump: Wow! 96% Approval Rating in the Republican Party (and I believe this was before the “GREAT” Jobs Numbers yesterday). T…,Sun Jun 07 21:04:52 +0000 2020,49171,,0,False
Twitter for iPhone,1269737070924386305,RT @realDonaldTrump: LAW &amp; ORDER!,Sun Jun 07 21:04:42 +0000 2020,68047,,0,False
Twitter for iPhone,1269733556865118211,"Opinion Editor at @nytimes just walked out. That’s right, he quit over the excellent Op-Ed penned by our great Senator @TomCottonAR. TRANSPARENCY! The State of Arkansas is very proud of Tom. The New York Times is Fake News!!!",Sun Jun 07 20:50:45 +0000 2020,30756,,115881,False
Twitter for iPhone,1269730875769487361,"“If Biden had any passion or respect for law enforcement, he kept it well hidden in his Philadelphia address. He criticized cops far more than he did arsonists &amp; looters.” Michael Goodwin, @nypost",Sun Jun 07 20:40:05 +0000 2020,28470,,111063,False
Twitter for iPhone,1269728467878326272,RT @realDonaldTrump: Sleepy Joe Biden and the Radical Left Democrats want to “DEFUND THE POLICE”. I want great and well paid LAW ENFORCEMEN…,Sun Jun 07 20:30:31 +0000 2020,59348,,0,False
Twitter for iPhone,1269728403596460032,"RT @realDonaldTrump: Not only will Sleepy Joe Biden DEFUND THE POLICE, but he will DEFUND OUR MILITARY! He has no choice, the Dems are cont…",Sun Jun 07 20:30:16 +0000 2020,48507,,0,False
Twitter for iPhone,1269725806500216833,RT @realDonaldTrump: Somebody please tell highly overrated Colin Powell that I will have gotten almost 300 Federal Judges approved (a recor…,Sun Jun 07 20:19:57 +0000 2020,40888,,0,False
Twitter for iPhone,1269725741295505410,"RT @realDonaldTrump: Colin Powell, a real stiff who was very responsible for getting us into the disastrous Middle East Wars, just announce…",Sun Jun 07 20:19:41 +0000 2020,58539,,0,False
Twitter for iPhone,1269709470621409282,"...I know Ronny well. He will NEVER let you down. Solid as a rock. Ronny has my Complete and Total Endorsement! #TX13 #MAGA 
https://t.co/u4z8ZxbeNh",Sun Jun 07 19:15:02 +0000 2020,10710,25073877,40851,False
Twitter for iPhone,1269709468704669697,".@RonnyJackson4TX is a spectacular man. An Admiral in the Navy, he is a brave and loyal Warrior who loves our Military and Vets. As a medical doctor, Ronny is great on HealthCare and he is Strong on Cutting Taxes, the Border and the Second Amendment...",Sun Jun 07 19:15:02 +0000 2020,16877,,71322,False
Twitter for iPhone,1269709109902880768,Congressman Jeff Van Drew (@VanDrewForNJ) is a Courageous Leader who defended me against Pelosi’s Impeachment Scam and is a conservative who shares our Republican values. Jeff is a fighter for South Jersey and will always put America First. Vote for Jeff! https://t.co/whoUDnen12,Sun Jun 07 19:13:36 +0000 2020,12046,,43259,False
Twitter for iPhone,1269708922144915463,"Congressman Mark Amodei (@AmodeiForNevada) is working hard for the incredible people of Nevada! He is Strong on Immigration, Taxes, Job Creation and he Loves our Military and Vets. Mark has my Complete and Total Endorsement! #NV02 #MAGA",Sun Jun 07 19:12:51 +0000 2020,11249,,44929,False
Twitter for iPhone,1269708816238739457,"Governor Doug Burgum (@DougForDakota) is doing a phenomenal job leading North Dakota! He is a true Conservative, and First Lady Kathryn Burgum’s leadership against the disease of addiction inspires us all. Doug has my Complete and Total Endorsement! #NDGOV https://t.co/yqI4q6IMge",Sun Jun 07 19:12:26 +0000 2020,8755,,33105,False
Twitter for iPhone,1269708649372549124,"Congresswoman Carol Miller (@CarolMillerWV) is a tremendous advocate for the people of West Virginia! She fights for our Coal Miners, the Second Amendment and for Lower Taxes. Carol has my Complete and Total Endorsement! #WV03 https://t.co/hAHBNr4fh0",Sun Jun 07 19:11:46 +0000 2020,8769,,33833,False
Twitter for iPhone,1269708551703977984,"Congressman Alex Mooney (@MooneyforWV) is a champion for West Virginia! He is strong on Life and the Second Amendment, and he works hard for our incredible Veterans and Coal Miners. Alex has my Complete and Total Endorsement! #WV02 https://t.co/3s4CClkcfK",Sun Jun 07 19:11:23 +0000 2020,8427,,31915,False
Twitter for iPhone,1269708424633352195,"Unlike Senator Manchin, Big Jim Justice was very loyal to your favorite President during Pelosi’s Impeachment Scam. Big Jim is doing a tremendous job for West Virginia. Vote for Big Jim! #MAGA",Sun Jun 07 19:10:53 +0000 2020,20802,,88398,False
Twitter for iPhone,1269705225285361666,"We need @KarenHandel back in Congress to fight for the incredible people of Georgia! She is a tremendous advocate for our Military, Vets, Border Security and the Second Amendment. Karen has my Complete and Total Endorsement! #GA06
https://t.co/5JOaLlvZE0",Sun Jun 07 18:58:10 +0000 2020,10031,,36766,False
Twitter for iPhone,1269704857004519428,"Congressman Austin Scott (@AustinScott4GA) is doing a phenomenal job for the GREAT State of Georgia. He works hard for our incredible Farmers, Military, Vets and the Second Amendment. Austin has my Complete and Total Endorsement! #GA08 https://t.co/t7nGad9s5L",Sun Jun 07 18:56:42 +0000 2020,8832,,32799,False
Twitter for iPhone,1269704757012291585,"Congressman Buddy Carter (@Buddy_Carter) keeps fighting for the incredible people of Georgia. Buddy has my Complete and Total Endorsement! Vote for Buddy! #GA01
https://t.co/RnAmBAOMmR",Sun Jun 07 18:56:18 +0000 2020,8260,,30677,False
Twitter for iPhone,1269703938187628545,"Congressman Joe Wilson is a champion for the people of South Carolina! He served our Country as a Colonel in the Army, and now he serves our Military &amp; Vets in Congress. Strong on the #2A and Border Security! Joe has my Complete &amp; Total Endorsement! #SC02 https://t.co/6rE7vg1vhr",Sun Jun 07 18:53:03 +0000 2020,9936,,36919,False
